id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
27,euclidian_px_all,mlpclassifier,RFS,0.7418181818181818,"(0.6709009604661187, 0.812735403170245)",0.725,0.465,0.5483333333333333,"(50, 50, 50)",identity,0.0001,sgd,0.001,300,707878
28,euclidian_px_all,mlpclassifier,RFS,0.7418181818181818,"(0.6709009604661187, 0.812735403170245)",0.725,0.465,0.5483333333333333,"(50, 50, 50)",identity,0.001,sgd,0.001,300,707878
29,euclidian_px_all,mlpclassifier,RFS,0.7418181818181818,"(0.6709009604661187, 0.812735403170245)",0.725,0.465,0.5483333333333333,"(50, 50, 50)",identity,0.01,sgd,0.001,300,707878
30,euclidian_px_all,mlpclassifier,RFS,0.7072727272727273,"(0.6228866189020339, 0.7916588356434207)",0.6333333333333332,0.64,0.6255555555555556,"(50, 50, 50)",logistic,0.0001,lbfgs,0.001,300,707878
31,euclidian_px_all,mlpclassifier,RFS,0.6690909090909092,"(0.5800767778699351, 0.7581050403118833)",0.5278571428571428,0.5650000000000001,0.5351010101010101,"(50, 50, 50)",logistic,0.001,lbfgs,0.001,300,707878
32,euclidian_px_all,mlpclassifier,RFS,0.7054545454545454,"(0.6232457096703565, 0.7876633812387344)",0.6900000000000001,0.5650000000000001,0.5977777777777777,"(50, 50, 50)",logistic,0.01,lbfgs,0.001,300,707878
33,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.0001,sgd,0.001,300,707878
34,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.001,sgd,0.001,300,707878
35,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.01,sgd,0.001,300,707878
36,euclidian_px_all,mlpclassifier,RFS,0.6863636363636363,"(0.6046104293347733, 0.7681168433924993)",0.5833333333333333,0.505,0.5151082251082251,"(50, 50, 50)",tanh,0.0001,lbfgs,0.001,300,707878
37,euclidian_px_all,mlpclassifier,RFS,0.67,"(0.5829688645245349, 0.7570311354754652)",0.5666666666666667,0.5900000000000001,0.5706349206349206,"(50, 50, 50)",tanh,0.001,lbfgs,0.001,300,707878
38,euclidian_px_all,mlpclassifier,RFS,0.7245454545454546,"(0.6376223585076731, 0.8114685505832361)",0.6433333333333332,0.64,0.6292063492063491,"(50, 50, 50)",tanh,0.01,lbfgs,0.001,300,707878
39,euclidian_px_all,mlpclassifier,RFS,0.76,"(0.6926159482291406, 0.8273840517708594)",0.775,0.465,0.565,"(50, 50, 50)",tanh,0.0001,sgd,0.001,300,707878
40,euclidian_px_all,mlpclassifier,RFS,0.76,"(0.6926159482291406, 0.8273840517708594)",0.775,0.465,0.565,"(50, 50, 50)",tanh,0.001,sgd,0.001,300,707878
41,euclidian_px_all,mlpclassifier,RFS,0.76,"(0.6926159482291406, 0.8273840517708594)",0.775,0.465,0.565,"(50, 50, 50)",tanh,0.01,sgd,0.001,300,707878
42,euclidian_px_all,mlpclassifier,RFS,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.7111904761904763,0.615,0.6201803751803752,"(50, 50, 50)",relu,0.0001,lbfgs,0.001,300,707878
43,euclidian_px_all,mlpclassifier,RFS,0.6409090909090909,"(0.5299056582319177, 0.751912523586264)",0.505,0.515,0.4935714285714285,"(50, 50, 50)",relu,0.001,lbfgs,0.001,300,707878
44,euclidian_px_all,mlpclassifier,RFS,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.7061904761904763,0.5900000000000001,0.6172438672438672,"(50, 50, 50)",relu,0.01,lbfgs,0.001,300,707878
45,euclidian_px_all,mlpclassifier,RFS,0.6590909090909092,"(0.6076818181818182, 0.7105000000000001)",0.39999999999999997,0.19,0.2442857142857143,"(50, 50, 50)",relu,0.0001,sgd,0.001,300,707878
46,euclidian_px_all,mlpclassifier,RFS,0.6590909090909092,"(0.6076818181818182, 0.7105000000000001)",0.39999999999999997,0.19,0.2442857142857143,"(50, 50, 50)",relu,0.001,sgd,0.001,300,707878
47,euclidian_px_all,mlpclassifier,RFS,0.6590909090909092,"(0.6076818181818182, 0.7105000000000001)",0.39999999999999997,0.19,0.2442857142857143,"(50, 50, 50)",relu,0.01,sgd,0.001,300,707878
48,euclidian_px_all,mlpclassifier,RFS,0.7527272727272727,"(0.6780913758402369, 0.8273631696143084)",0.7216666666666667,0.615,0.6392857142857142,"(100,)",identity,0.0001,lbfgs,0.001,300,707878
49,euclidian_px_all,mlpclassifier,RFS,0.7045454545454546,"(0.5865656043958536, 0.8225253046950556)",0.6583333333333333,0.615,0.6126334776334775,"(100,)",identity,0.001,lbfgs,0.001,300,707878
50,euclidian_px_all,mlpclassifier,RFS,0.77,"(0.6663149452659323, 0.8736850547340678)",0.7150000000000001,0.6849999999999999,0.6825396825396826,"(100,)",identity,0.01,lbfgs,0.001,300,707878
51,euclidian_px_all,mlpclassifier,RFS,0.650909090909091,"(0.5826934480022761, 0.7191247338159059)",0.3,0.1,0.14666666666666667,"(100,)",identity,0.0001,sgd,0.001,300,707878
52,euclidian_px_all,mlpclassifier,RFS,0.650909090909091,"(0.5826934480022761, 0.7191247338159059)",0.3,0.1,0.14666666666666667,"(100,)",identity,0.001,sgd,0.001,300,707878
53,euclidian_px_all,mlpclassifier,RFS,0.650909090909091,"(0.5826934480022761, 0.7191247338159059)",0.3,0.1,0.14666666666666667,"(100,)",identity,0.01,sgd,0.001,300,707878
54,euclidian_px_all,mlpclassifier,RFS,0.7045454545454546,"(0.5991881698518154, 0.8099027392390937)",0.6016666666666667,0.5349999999999999,0.5635714285714286,"(100,)",logistic,0.0001,lbfgs,0.001,300,707878
55,euclidian_px_all,mlpclassifier,RFS,0.7336363636363636,"(0.6616114301895597, 0.8056612970831676)",0.7283333333333333,0.5650000000000001,0.6094444444444443,"(100,)",logistic,0.001,lbfgs,0.001,300,707878
56,euclidian_px_all,mlpclassifier,RFS,0.7245454545454546,"(0.6629269414692776, 0.7861639676216317)",0.6866666666666666,0.5900000000000001,0.6125396825396825,"(100,)",logistic,0.01,lbfgs,0.001,300,707878
57,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",logistic,0.0001,sgd,0.001,300,707878
58,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",logistic,0.001,sgd,0.001,300,707878
59,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",logistic,0.01,sgd,0.001,300,707878
60,euclidian_px_all,mlpclassifier,RFS,0.6872727272727273,"(0.6221581532099885, 0.752387301335466)",0.6,0.515,0.5492063492063493,"(100,)",tanh,0.0001,lbfgs,0.001,300,707878
61,euclidian_px_all,mlpclassifier,RFS,0.7245454545454546,"(0.6376223585076731, 0.8114685505832361)",0.6804761904761903,0.615,0.6159018759018758,"(100,)",tanh,0.001,lbfgs,0.001,300,707878
62,euclidian_px_all,mlpclassifier,RFS,0.7336363636363636,"(0.6684604848908651, 0.7988122423818622)",0.6966666666666665,0.5900000000000001,0.6253968253968253,"(100,)",tanh,0.01,lbfgs,0.001,300,707878
63,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",tanh,0.0001,sgd,0.001,300,707878
64,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",tanh,0.001,sgd,0.001,300,707878
65,euclidian_px_all,mlpclassifier,RFS,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(100,)",tanh,0.01,sgd,0.001,300,707878
66,euclidian_px_all,mlpclassifier,RFS,0.7245454545454546,"(0.649204676149846, 0.7998862329410632)",0.6916666666666667,0.5650000000000001,0.5888095238095238,"(100,)",relu,0.0001,lbfgs,0.001,300,707878
67,euclidian_px_all,mlpclassifier,RFS,0.79,"(0.7093344928958875, 0.8706655071041126)",0.7933333333333333,0.6900000000000001,0.6990476190476189,"(100,)",relu,0.001,lbfgs,0.001,300,707878
68,euclidian_px_all,mlpclassifier,RFS,0.7518181818181818,"(0.664141605434971, 0.8394947582013926)",0.74,0.5599999999999999,0.6242063492063492,"(100,)",relu,0.01,lbfgs,0.001,300,707878
69,euclidian_px_all,mlpclassifier,RFS,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",relu,0.0001,sgd,0.001,300,707878
70,euclidian_px_all,mlpclassifier,RFS,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",relu,0.001,sgd,0.001,300,707878
71,euclidian_px_all,mlpclassifier,RFS,0.6145454545454545,"(0.5872647080880584, 0.6418262010028506)",0.0,0.0,0.0,"(100,)",relu,0.01,sgd,0.001,300,707878
72,euclidian_px_all,mlpclassifier,RFS,0.7236363636363636,"(0.6398425242210048, 0.8074302030517224)",0.6416666666666666,0.61,0.610079365079365,"(100, 100, 100)",identity,0.0001,lbfgs,0.001,300,707878
