id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.0011486291885375976,0.0002424675466150734,0.1242870807647705,0.0030601214429462143,auto,1,-1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'uniform'}",0.5555555555555556,0.7777777777777778,0.875,0.875,0.625,0.75,0.25,0.625,0.75,0.625,0.6708333333333334,0.17436502969416462,51,0.5833333333333333,0.775,0.9,0.9,0.6333333333333333,0.8333333333333333,0.25,0.6333333333333333,0.8333333333333333,0.6333333333333333,0.6975,0.18723314343352782,31,0.575,0.775,0.875,0.875,0.625,0.75,0.25,0.625,0.75,0.625,0.6725,0.17300650276795956,51,0.55,0.7750000000000001,0.873015873015873,0.873015873015873,0.6190476190476191,0.7333333333333334,0.25,0.6190476190476191,0.7333333333333334,0.6190476190476191,0.6644841269841271,0.1731364486287892,51
1,0.0013300418853759766,0.0006307853211264588,0.11968379020690918,0.0032292298855698598,auto,1,-1,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'distance'}",0.5555555555555556,0.7777777777777778,0.875,0.875,0.625,0.75,0.25,0.625,0.75,0.625,0.6708333333333334,0.17436502969416462,51,0.5833333333333333,0.775,0.9,0.9,0.6333333333333333,0.8333333333333333,0.25,0.6333333333333333,0.8333333333333333,0.6333333333333333,0.6975,0.18723314343352782,31,0.575,0.775,0.875,0.875,0.625,0.75,0.25,0.625,0.75,0.625,0.6725,0.17300650276795956,51,0.55,0.7750000000000001,0.873015873015873,0.873015873015873,0.6190476190476191,0.7333333333333334,0.25,0.6190476190476191,0.7333333333333334,0.6190476190476191,0.6644841269841271,0.1731364486287892,51
2,0.0010649442672729492,0.0001432212791438654,0.11990385055541992,0.005752611736952402,auto,1,-1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'uniform'}",0.7777777777777778,0.5555555555555556,0.5,0.625,0.625,0.5,0.375,0.625,0.75,0.625,0.5958333333333334,0.11359209294773522,181,0.8571428571428572,0.5833333333333333,0.25,0.7857142857142857,0.7857142857142857,0.5,0.3666666666666667,0.7857142857142857,0.8333333333333333,0.7857142857142857,0.6533333333333333,0.20428016420477133,151,0.75,0.575,0.5,0.625,0.625,0.5,0.375,0.625,0.75,0.625,0.595,0.1088577052853862,181,0.75,0.55,0.3333333333333333,0.5636363636363637,0.5636363636363637,0.4666666666666667,0.3650793650793651,0.5636363636363637,0.7333333333333334,0.5636363636363637,0.5452958152958154,0.12736488893530762,191
3,0.0011251449584960937,0.00024040675412472195,0.11734931468963623,0.0034710085625674365,auto,1,-1,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.5555555555555556,0.7777777777777778,0.875,0.875,0.625,0.75,0.25,0.625,0.75,0.625,0.6708333333333334,0.17436502969416462,51,0.5833333333333333,0.775,0.9,0.9,0.6333333333333333,0.8333333333333333,0.25,0.6333333333333333,0.8333333333333333,0.6333333333333333,0.6975,0.18723314343352782,31,0.575,0.775,0.875,0.875,0.625,0.75,0.25,0.625,0.75,0.625,0.6725,0.17300650276795956,51,0.55,0.7750000000000001,0.873015873015873,0.873015873015873,0.6190476190476191,0.7333333333333334,0.25,0.6190476190476191,0.7333333333333334,0.6190476190476191,0.6644841269841271,0.1731364486287892,51
4,0.001088714599609375,0.00021068625576983502,0.11536562442779541,0.0023538755043938714,auto,1,-1,3,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",0.6666666666666666,0.6666666666666666,0.875,0.75,0.75,0.375,0.5,0.75,0.875,0.875,0.7083333333333333,0.1570120306784731,11,0.675,0.6666666666666666,0.9,0.8333333333333333,0.75,0.3666666666666667,0.5,0.8333333333333333,0.9,0.9,0.7325000000000002,0.17330328265147715,11,0.675,0.65,0.875,0.75,0.75,0.375,0.5,0.75,0.875,0.875,0.7075,0.15734118977559564,11,0.6666666666666665,0.6493506493506493,0.873015873015873,0.7333333333333334,0.75,0.3650793650793651,0.5,0.7333333333333334,0.873015873015873,0.873015873015873,0.7016810966810967,0.1582231771378636,11
5,0.0011865615844726563,0.0001473836394360803,0.11502625942230224,0.0008537858695830307,auto,1,-1,3,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.5555555555555556,0.6666666666666666,0.875,0.75,0.75,0.375,0.5,0.75,0.875,0.875,0.6972222222222222,0.16337017725036235,21,0.5833333333333333,0.6666666666666666,0.9,0.8333333333333333,0.75,0.3666666666666667,0.5,0.8333333333333333,0.9,0.9,0.7233333333333334,0.1784501175243223,21,0.575,0.65,0.875,0.75,0.75,0.375,0.5,0.75,0.875,0.875,0.6975,0.16219201583308596,21,0.55,0.6493506493506493,0.873015873015873,0.7333333333333334,0.75,0.3650793650793651,0.5,0.7333333333333334,0.873015873015873,0.873015873015873,0.6900144300144302,0.1645496191141235,21
6,0.0011384725570678712,0.00020363259379568908,0.11848926544189453,0.003918661182575092,auto,1,-1,5,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",0.5555555555555556,0.6666666666666666,0.625,0.625,0.875,0.5,0.25,0.625,0.625,0.75,0.6097222222222223,0.1544666750587443,161,0.55,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.9,0.5,0.16666666666666666,0.6333333333333333,0.6333333333333333,0.75,0.6066666666666667,0.1792267341169342,171,0.55,0.65,0.625,0.625,0.875,0.5,0.25,0.625,0.625,0.75,0.6075,0.15413062641798353,161,0.55,0.6493506493506493,0.6190476190476191,0.6190476190476191,0.873015873015873,0.4666666666666667,0.2,0.6190476190476191,0.6190476190476191,0.75,0.5965223665223667,0.16765477598541983,161
7,0.001021575927734375,0.0001725269983490212,0.12003259658813477,0.0021358849861290254,auto,1,-1,5,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.5555555555555556,0.6666666666666666,0.625,0.625,0.875,0.5,0.25,0.625,0.625,0.75,0.6097222222222223,0.1544666750587443,161,0.55,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.9,0.5,0.16666666666666666,0.6333333333333333,0.6333333333333333,0.75,0.6066666666666667,0.1792267341169342,171,0.55,0.65,0.625,0.625,0.875,0.5,0.25,0.625,0.625,0.75,0.6075,0.15413062641798353,161,0.55,0.6493506493506493,0.6190476190476191,0.6190476190476191,0.873015873015873,0.4666666666666667,0.2,0.6190476190476191,0.6190476190476191,0.75,0.5965223665223667,0.16765477598541983,161
8,0.001223134994506836,0.00022931177270429863,0.116367506980896,0.0018335148774814283,auto,1,-1,10,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'uniform'}",0.4444444444444444,0.8888888888888888,0.625,0.5,0.875,0.5,0.5,0.75,0.625,0.625,0.6333333333333333,0.1505135242682674,151,0.41666666666666663,0.9166666666666667,0.7857142857142857,0.25,0.9,0.5,0.5,0.8333333333333333,0.6333333333333333,0.6333333333333333,0.6369047619047619,0.21069545248093308,161,0.425,0.875,0.625,0.5,0.875,0.5,0.5,0.75,0.625,0.625,0.63,0.15074813431681336,151,0.4155844155844156,0.8831168831168831,0.5636363636363637,0.3333333333333333,0.873015873015873,0.4666666666666667,0.4666666666666667,0.7333333333333334,0.6190476190476191,0.6190476190476191,0.5973448773448773,0.17751727507863563,151
9,0.0009607553482055664,0.0001298013041155362,0.11658318042755127,0.0022558836622349984,auto,1,-1,10,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'distance'}",0.5555555555555556,0.7777777777777778,0.75,0.875,1.0,0.5,0.5,0.875,0.625,0.75,0.7208333333333334,0.16261866512462084,1,0.55,0.8571428571428572,0.8333333333333333,0.9,1.0,0.5,0.5,0.9,0.6333333333333333,0.75,0.7423809523809524,0.1743429518294551,1,0.55,0.75,0.75,0.875,1.0,0.5,0.5,0.875,0.625,0.75,0.7175,0.16242305870780785,1,0.55,0.75,0.7333333333333334,0.873015873015873,1.0,0.5,0.4666666666666667,0.873015873015873,0.6190476190476191,0.75,0.7115079365079365,0.16677934588599314,1
