id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.03827935457229614,0.004469109186642255,0.0069495439529418945,0.0018245334755798725,identity,0.0001,"(100,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.7857142857142857,0.7037037037037037,0.7407407407407407,0.6296296296296297,0.71494708994709,0.0571812713815826,35,0.7794871794871795,0.680921052631579,0.7362637362637363,0.6166666666666667,0.7033346587622904,0.061027127475247946,35,0.7914438502673797,0.6617647058823529,0.7529411764705882,0.6235294117647059,0.7074197860962567,0.06755409239319071,24,0.78125,0.6666666666666667,0.7349228611500701,0.6164772727272727,0.6998292001360025,0.06306387460884083,28
1,0.4753049612045288,0.08130724505500266,0.007333695888519287,0.0018889394661950423,identity,0.0001,"(100,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.6785714285714286,0.8888888888888888,0.7037037037037037,0.48148148148148145,0.6881613756613757,0.14434476460100404,67,0.6625,0.8888888888888888,0.6916666666666667,0.4666666666666667,0.6774305555555555,0.14963424737041686,70,0.6390374331550802,0.8705882352941177,0.7029411764705882,0.4647058823529412,0.6693181818181819,0.1452784025824667,66,0.6415362731152204,0.8781954887218045,0.6931818181818183,0.46306818181818177,0.6689954404592562,0.14791017779639667,64
2,0.01882535219192505,0.005147402604210488,0.013526976108551025,0.004206329721265468,identity,0.0001,"(6,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.75,0.7037037037037037,0.6666666666666666,0.6296296296296297,0.6875,0.04458648213948663,73,0.7388888888888889,0.680921052631579,0.6620879120879121,0.6166666666666667,0.6746411300687617,0.043834443161855606,72,0.7299465240641712,0.6617647058823529,0.6735294117647059,0.6235294117647059,0.672192513368984,0.03812528582000012,62,0.7333333333333333,0.6666666666666667,0.6591865357643758,0.6164772727272727,0.668915952122912,0.04183041634537245,65
3,0.3888240456581116,0.03809141938558455,0.006863653659820557,0.0017315497770348583,identity,0.0001,"(6,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.7142857142857143,0.7407407407407407,0.4444444444444444,0.5925925925925926,0.623015873015873,0.1172632289978555,167,0.7478260869565218,0.7222222222222222,0.43956043956043955,0.5555555555555556,0.6162910760736848,0.1259418398977041,105,0.6524064171122994,0.7117647058823529,0.43529411764705883,0.5529411764705883,0.5881016042780749,0.10489763499017536,110,0.65,0.7157894736842105,0.43197755960729317,0.5533834586466165,0.58778762298453,0.10690565467956666,107
4,0.021593928337097168,0.011692899376766614,0.0074923038482666016,0.001659370179330262,identity,0.0001,"(6, 6, 6)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 6, 6), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.7142857142857143,0.7407407407407407,0.6296296296296297,0.5555555555555556,0.66005291005291,0.07296745193016031,95,0.7005347593582887,0.7222222222222222,0.5921052631578947,0.47619047619047616,0.6227631802322204,0.09793363186716836,102,0.7005347593582887,0.7117647058823529,0.5823529411764705,0.48235294117647054,0.6192513368983956,0.0938993883974276,92,0.7005347593582888,0.7157894736842105,0.5833333333333334,0.46710526315789475,0.6166907073834319,0.10042274401445163,89
5,0.5885345935821533,0.02363194911339778,0.0111236572265625,0.0069388528075759156,identity,0.0001,"(6, 6, 6)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 6, 6), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.6785714285714286,0.5925925925925926,0.7037037037037037,0.7037037037037037,0.6696428571428572,0.04565288926208266,88,0.6742424242424242,0.47916666666666663,0.8400000000000001,0.6823529411764706,0.6689405080213904,0.1279486853559487,80,0.6229946524064172,0.49117647058823527,0.6,0.6823529411764706,0.5991310160427807,0.06919230625739538,104,0.6199095022624435,0.44277673545966234,0.5714285714285714,0.6823529411764706,0.579116937581787,0.08799072033492336,111
6,0.046871960163116455,0.013334701952696735,0.012649297714233398,0.004299377731304597,identity,0.001,"(100,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.7142857142857143,0.7777777777777778,0.7407407407407407,0.6666666666666666,0.7248677248677248,0.04046840883803799,19,0.7005347593582887,0.7697368421052632,0.7362637362637363,0.6477272727272727,0.7135656526136402,0.045207582260569354,23,0.7005347593582887,0.7411764705882353,0.7529411764705882,0.6529411764705882,0.711898395721925,0.03920076993094416,20,0.7005347593582888,0.7499999999999999,0.7349228611500701,0.6493506493506492,0.7087020674647521,0.038672810238702754,19
7,0.6840145587921143,0.027140299108860056,0.0067934393882751465,0.0011936339118667383,identity,0.001,"(100,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.7857142857142857,0.7407407407407407,0.6666666666666666,0.7037037037037037,0.7242063492063492,0.044124216413018336,26,0.7836257309941521,0.7636363636363637,0.6620879120879121,0.6916666666666667,0.7252541683462737,0.04999632096468803,13,0.7593582887700534,0.6705882352941177,0.6735294117647059,0.7029411764705882,0.7016042780748664,0.035663377843422495,29,0.7666666666666666,0.676923076923077,0.6591865357643758,0.6931818181818183,0.6989895243839844,0.040881325337734496,29
8,0.0206795334815979,0.005053638556725452,0.0164220929145813,0.006930537291477718,identity,0.001,"(6,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (6,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.75,0.7777777777777778,0.7037037037037037,0.6666666666666666,0.724537037037037,0.0426202607396342,20,0.7388888888888889,0.7617647058823529,0.6823529411764706,0.6620879120879121,0.7112736120089062,0.04052034166875783,27,0.7299465240641712,0.7617647058823529,0.6823529411764706,0.6735294117647059,0.7118983957219251,0.03590785652152266,19,0.7333333333333333,0.7617647058823529,0.6823529411764706,0.6591865357643758,0.7091593790391333,0.040520274722502504,18
9,0.4680021405220032,0.027091350268675953,0.010358333587646484,0.004549435271908705,identity,0.001,"(6,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (6,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.4642857142857143,0.7777777777777778,0.5555555555555556,0.6296296296296297,0.6068121693121693,0.11477249954753688,175,0.44791666666666663,0.7666666666666666,0.5235294117647059,0.6029411764705883,0.5852634803921568,0.11821046844403123,117,0.446524064171123,0.7823529411764706,0.5235294117647059,0.6029411764705883,0.588836898395722,0.12466495103740285,108,0.4466403162055336,0.7698863636363635,0.5235294117647059,0.6029411764705883,0.5857493170192979,0.1198171968933744,109
