biblioteca,classifier,reduction,filtro,min_max,par_amostragem,par_accuracy,err_accuracy,IC,err_precision,err_recall,err_f1score,err_time,parameters
dlibHOG,randomforestclassifier,None,0.98,True,Borderline,0.7884615384615385,0.7527272727272727,"(0.6611324873547526, 0.8443220580997928)",0.65,0.7849999999999999,0.7027777777777777,0.036760201056798295,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 1, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.98,True,KMeans,0.7895604395604395,0.7336363636363636,"(0.6616114301895597, 0.8056612970831676)",0.6738095238095239,0.64,0.640981240981241,0.07083839337031048,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 12, 'min_samples_leaf': 20, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.98,True,SVM,0.7818681318681319,0.7427272727272728,"(0.6748672727272728, 0.8105872727272728)",0.6966666666666667,0.6900000000000001,0.669047619047619,0.07276318907737732,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 12, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.98,True,Tomek,0.8294871794871795,0.7709090909090909,"(0.6888375368835621, 0.8529806449346197)",0.6783333333333335,0.8099999999999999,0.7234920634920635,0.07300054709116618,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 12, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,False,None,0.8181318681318682,0.780909090909091,"(0.6938563636363637, 0.8679618181818183)",0.6916666666666667,0.8099999999999999,0.7323809523809525,0.07287946383158365,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,False,Random,0.7472222222222222,0.7472222222222222,"(0.649006399309769, 0.8454380451346755)",0.7716666666666666,0.755,0.7421717171717173,0.07263365070025127,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 32, 'min_samples_leaf': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,False,Smote,0.8181318681318682,0.780909090909091,"(0.6938563636363637, 0.8679618181818183)",0.6916666666666667,0.8099999999999999,0.7323809523809525,0.07411799867947896,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,False,Borderline,0.7675824175824175,0.7354545454545456,"(0.6473289731206676, 0.8235801177884235)",0.635,0.76,0.6822222222222223,0.07409144401550292,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 17, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,False,KMeans,0.7906593406593406,0.7336363636363636,"(0.6390510872499677, 0.8282216400227596)",0.6933333333333334,0.6599999999999999,0.6578571428571428,0.03643178780873616,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 20, 'min_samples_leaf': 10, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,False,SVM,0.8098901098901099,0.7609090909090909,"(0.6671219746817116, 0.8546962071364701)",0.6833333333333333,0.765,0.7077777777777777,0.03646198987960815,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 101, 'min_samples_leaf': 5, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,False,Tomek,0.8301282051282051,0.780909090909091,"(0.6938563636363637, 0.8679618181818183)",0.6916666666666667,0.8099999999999999,0.7323809523809525,0.0731191885471344,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,True,None,0.8181318681318682,0.780909090909091,"(0.6938563636363637, 0.8679618181818183)",0.6916666666666667,0.8099999999999999,0.7323809523809525,0.07298572460810344,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,True,Random,0.7472222222222222,0.7472222222222222,"(0.649006399309769, 0.8454380451346755)",0.7716666666666666,0.755,0.7421717171717173,0.07194371581077577,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 32, 'min_samples_leaf': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,True,Smote,0.8181318681318682,0.780909090909091,"(0.6938563636363637, 0.8679618181818183)",0.6916666666666667,0.8099999999999999,0.7323809523809525,0.07451776305834452,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,True,Borderline,0.7675824175824175,0.7354545454545456,"(0.6473289731206676, 0.8235801177884235)",0.635,0.76,0.6822222222222223,0.07436673839886984,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 17, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,True,KMeans,0.7906593406593406,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7000000000000001,0.6599999999999999,0.6623015873015873,0.03707361102104187,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 5, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,True,SVM,0.8098901098901099,0.7609090909090909,"(0.6671219746817116, 0.8546962071364701)",0.6833333333333333,0.765,0.7077777777777777,0.0365724794069926,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 101, 'min_samples_leaf': 5, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.99,True,Tomek,0.8301282051282051,0.780909090909091,"(0.6938563636363637, 0.8679618181818183)",0.6916666666666667,0.8099999999999999,0.7323809523809525,0.07345312039057414,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 14, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
