id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.2490130066871643,0.21255046533315852,0.007250845432281494,0.0014997319325641243,identity,0.0001,"(50,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.8823529411764706,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.7794117647058824,0.06410145505206871,45,0.8823529411764706,0.7684210526315789,0.7684210526315789,0.7087719298245614,0.7819917440660474,0.06285268175466749,72,0.8823529411764706,0.7647058823529411,0.7647058823529411,0.7058823529411764,0.7794117647058822,0.06410145505206874,55,0.8823529411764706,0.763888888888889,0.763888888888889,0.7048611111111112,0.7787479575163399,0.06448806585694054,46
1,0.1367703080177307,0.08971028529369073,0.00732046365737915,0.0008286517406171353,identity,0.0001,"(50,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.47058823529411764,0.5588235294117647,0.47058823529411764,0.5294117647058824,0.5073529411764706,0.038207003108137,275,0.4413793103448276,0.5607142857142857,0.4086021505376344,0.5449735449735449,0.4889173228925731,0.06520639050700233,251,0.47058823529411764,0.5588235294117647,0.47058823529411764,0.5294117647058824,0.5073529411764706,0.038207003108137,275,0.39525691699604737,0.5553618134263296,0.3625,0.48484848484848486,0.4494918038177155,0.07577524448667036,240
2,0.7124540209770203,0.377584481527716,0.009861648082733154,0.001657914845310645,identity,0.0001,"(50, 50, 50)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.8823529411764706,0.7352941176470589,0.6176470588235294,0.8235294117647058,0.7647058823529411,0.09974014681066568,74,0.8823529411764706,0.7575757575757576,0.6416666666666666,0.8424908424908425,0.7810215519774343,0.0922171532963516,73,0.8823529411764706,0.7352941176470589,0.6176470588235294,0.8235294117647058,0.7647058823529411,0.09974014681066568,74,0.8823529411764706,0.7294429708222812,0.6007226738934056,0.8210526315789475,0.7583928043677761,0.10605462315462841,80
3,1.0720103979110718,0.12403274198869209,0.010876655578613281,0.003714291758809254,identity,0.0001,"(50, 50, 50)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.6470588235294118,0.5882352941176471,0.7058823529411765,0.7352941176470589,0.6691176470588236,0.05647901285197507,155,0.6491228070175439,0.6133333333333333,0.7087719298245614,0.7428571428571429,0.6785213032581454,0.050418111003625365,169,0.6470588235294118,0.5882352941176471,0.7058823529411764,0.7352941176470589,0.6691176470588236,0.056479012851975055,155,0.6458333333333334,0.5641025641025641,0.7048611111111112,0.7332170880557977,0.6620035241507015,0.06471904181450654,161
4,0.5820160508155823,0.17797586696208548,0.01222294569015503,0.006612405461374505,identity,0.0001,"(100,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.7941176470588235,0.7647058823529411,0.7058823529411765,0.8823529411764706,0.7867647058823529,0.06367833851356165,36,0.7951388888888888,0.7684210526315789,0.7351778656126482,0.9047619047619048,0.8008749279737551,0.06362932523249273,36,0.7941176470588235,0.7647058823529411,0.7058823529411764,0.8823529411764706,0.7867647058823529,0.06367833851356168,35,0.793939393939394,0.763888888888889,0.6964285714285714,0.8807017543859649,0.7837396521607048,0.06618716193753232,37
5,0.2140812873840332,0.029701885208214457,0.016853749752044678,0.004440151966374015,identity,0.0001,"(100,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.5,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.5588235294117647,0.04159451654038516,230,0.25,0.765625,0.5607142857142857,0.7833333333333333,0.5899181547619048,0.21487179006877002,216,0.5,0.5588235294117647,0.5588235294117647,0.6176470588235294,0.5588235294117647,0.04159451654038516,230,0.3333333333333333,0.4522019334049409,0.5553618134263296,0.5521783181357649,0.4732688495750922,0.09081811851879575,229
6,2.558516561985016,1.7961390501235786,0.012522518634796143,0.003522078553230762,identity,0.0001,"(100, 100, 100)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.5588235294117647,0.7058823529411765,0.6764705882352942,0.8529411764705882,0.6985294117647058,0.10476328565275739,136,0.5817307692307692,0.7058823529411765,0.6931818181818181,0.8642857142857143,0.7112701636598695,0.10068568690343022,134,0.5588235294117647,0.7058823529411765,0.6764705882352942,0.8529411764705882,0.6985294117647058,0.10476328565275739,135,0.5255813953488372,0.7058823529411765,0.6693191865605659,0.8517872711421098,0.6881425514981724,0.11605466748343532,138
7,1.9394251108169556,0.22374521813620543,0.0119704008102417,0.003479034253753902,identity,0.0001,"(100, 100, 100)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.7647058823529411,0.5882352941176471,0.7352941176470589,0.7352941176470589,0.7058823529411765,0.06897670235034455,130,0.7647058823529411,0.6007905138339921,0.7428571428571429,0.7361111111111112,0.7111161625387968,0.0645674920482373,135,0.7647058823529411,0.588235294117647,0.7352941176470589,0.7352941176470589,0.7058823529411764,0.06897670235034459,130,0.7647058823529412,0.575,0.7332170880557977,0.735064935064935,0.7019969763684184,0.07437880101652507,128
8,0.49563705921173096,0.34685228189891854,0.012430787086486816,0.005583001165672811,identity,0.0001,"(45,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (45,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.9117647058823529,0.7647058823529411,0.7058823529411765,0.7941176470588235,0.7941176470588235,0.07498558108224682,26,0.9131944444444444,0.7647058823529411,0.717948717948718,0.7951388888888888,0.7977469834087481,0.07210131057411964,42,0.9117647058823529,0.7647058823529411,0.7058823529411764,0.7941176470588235,0.7941176470588234,0.07498558108224686,29,0.9116883116883117,0.7647058823529412,0.7017543859649122,0.793939393939394,0.7930219934863898,0.07618089496653216,19
9,0.2270309329032898,0.09409790863481007,0.0126991868019104,0.002055488978028937,identity,0.0001,"(45,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (45,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.5,0.4411764705882353,0.5882352941176471,0.29411764705882354,0.45588235294117646,0.10706043954824293,381,0.25,0.35833333333333334,0.6758620689655173,0.18518518518518517,0.36734514687100894,0.1885577094270254,286,0.5,0.4411764705882353,0.5882352941176471,0.29411764705882354,0.45588235294117646,0.10706043954824293,381,0.3333333333333333,0.3454913880445795,0.5296442687747035,0.22727272727272727,0.3589354293563359,0.10875751070970495,288
