id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.004070937633514404,0.00286203827015685,0.21906453371047974,0.026115461613299713,auto,1,-1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'uniform'}",0.7647058823529411,0.6470588235294118,0.7647058823529411,0.7647058823529411,0.7352941176470588,0.0509426708108493,21,0.7684210526315789,0.6556776556776557,0.7802197802197802,0.7802197802197802,0.7461345671871987,0.05244698220169774,21,0.7647058823529411,0.6470588235294117,0.7647058823529411,0.7647058823529411,0.7352941176470588,0.05094267081084935,21,0.763888888888889,0.6421052631578947,0.7614035087719297,0.7614035087719297,0.7322002923976609,0.05202628454565759,21
1,0.0027388334274291992,0.0005472423027622413,0.22669893503189087,0.04044241262975482,auto,1,-1,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'distance'}",0.7647058823529411,0.6470588235294118,0.7647058823529411,0.7647058823529411,0.7352941176470588,0.0509426708108493,21,0.7684210526315789,0.6556776556776557,0.7802197802197802,0.7802197802197802,0.7461345671871987,0.05244698220169774,21,0.7647058823529411,0.6470588235294117,0.7647058823529411,0.7647058823529411,0.7352941176470588,0.05094267081084935,21,0.763888888888889,0.6421052631578947,0.7614035087719297,0.7614035087719297,0.7322002923976609,0.05202628454565759,21
2,0.002441883087158203,0.0002946693047990249,0.2490624189376831,0.03377484695871235,auto,1,-1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'uniform'}",0.7058823529411765,0.5588235294117647,0.8235294117647058,0.8235294117647058,0.7279411764705881,0.10881359255109366,51,0.717948717948718,0.5708333333333333,0.8424908424908425,0.8280701754385965,0.7398357673028726,0.10881663574331012,61,0.7058823529411764,0.5588235294117647,0.8235294117647058,0.8235294117647058,0.7279411764705881,0.10881359255109367,51,0.7017543859649122,0.5392953929539296,0.8210526315789475,0.8229166666666666,0.7212547692911139,0.1159571410932771,51
3,0.003309965133666992,0.0016806047340358944,0.2880859971046448,0.09876323127197253,auto,1,-1,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.7647058823529411,0.6470588235294118,0.7647058823529411,0.7647058823529411,0.7352941176470588,0.0509426708108493,21,0.7684210526315789,0.6556776556776557,0.7802197802197802,0.7802197802197802,0.7461345671871987,0.05244698220169774,21,0.7647058823529411,0.6470588235294117,0.7647058823529411,0.7647058823529411,0.7352941176470588,0.05094267081084935,21,0.763888888888889,0.6421052631578947,0.7614035087719297,0.7614035087719297,0.7322002923976609,0.05202628454565759,21
4,0.005912959575653076,0.004447291037093817,0.2099589705467224,0.05130960867563788,auto,1,-1,3,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",0.7647058823529411,0.6470588235294118,0.8235294117647058,0.8823529411764706,0.7794117647058824,0.08700117328087668,11,0.7802197802197802,0.6556776556776557,0.8280701754385965,0.9047619047619048,0.7921823790244843,0.09046923069872957,11,0.7647058823529411,0.6470588235294117,0.8235294117647058,0.8823529411764706,0.7794117647058824,0.08700117328087673,11,0.7614035087719297,0.6421052631578947,0.8229166666666666,0.8807017543859649,0.776781798245614,0.08846191872609704,11
5,0.004448235034942627,0.003929020652091674,0.2376977801322937,0.09653058991072755,auto,1,-1,3,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.7647058823529411,0.6764705882352942,0.8235294117647058,0.8823529411764706,0.7867647058823529,0.07605941494697498,1,0.7802197802197802,0.6931818181818181,0.8235294117647058,0.9047619047619048,0.8004232287320522,0.0763697493753137,1,0.7647058823529411,0.6764705882352942,0.8235294117647058,0.8823529411764706,0.7867647058823529,0.07605941494697498,1,0.7614035087719297,0.6693191865605659,0.8235294117647058,0.8807017543859649,0.7837384653707916,0.07838338548648015,1
6,0.002340376377105713,7.253419975585298e-05,0.3030690550804138,0.09640722555268774,auto,1,-1,5,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",0.6176470588235294,0.7058823529411765,0.7647058823529411,0.6764705882352942,0.6911764705882353,0.0530228128744704,81,0.6287878787878788,0.7351778656126482,0.7647058823529411,0.6821428571428572,0.7027036209740813,0.051925761749825286,81,0.6176470588235294,0.7058823529411764,0.7647058823529411,0.6764705882352942,0.6911764705882353,0.053022812874470394,81,0.6091954022988506,0.6964285714285714,0.7647058823529412,0.6739319965126417,0.6860654631482512,0.055560635375927404,91
7,0.002132236957550049,0.0001333797336571826,0.2046467661857605,0.031976718938124093,auto,1,-1,5,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.6176470588235294,0.7058823529411765,0.7941176470588235,0.7647058823529411,0.7205882352941176,0.06739081904346819,61,0.6287878787878788,0.7351778656126482,0.7951388888888888,0.8023715415019763,0.7403690436978481,0.06950063015681858,51,0.6176470588235294,0.7058823529411764,0.7941176470588235,0.7647058823529411,0.7205882352941176,0.0673908190434682,61,0.6091954022988506,0.6964285714285714,0.793939393939394,0.7571428571428571,0.7141765562024183,0.0699003700612821,61
8,0.001589059829711914,0.00012202571728588941,0.2399349808692932,0.015122361423659128,auto,1,-1,10,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'uniform'}",0.5588235294117647,0.6176470588235294,0.7058823529411765,0.6176470588235294,0.625,0.05251050315105038,181,0.5590277777777778,0.6287878787878788,0.7087719298245614,0.6180555555555556,0.6286607854864434,0.053336287516830706,181,0.5588235294117647,0.6176470588235294,0.7058823529411764,0.6176470588235294,0.625,0.05251050315105034,181,0.5584415584415585,0.6091954022988506,0.7048611111111112,0.6173160173160174,0.6224535222918844,0.05265622924711975,181
9,0.003834068775177002,0.002192248303525261,0.18732553720474243,0.006519327308286603,auto,1,-1,10,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'distance'}",0.6764705882352942,0.6470588235294118,0.7941176470588235,0.7352941176470589,0.7132352941176471,0.056479012851975034,71,0.6821428571428572,0.6888888888888889,0.7951388888888888,0.7575757575757576,0.7309365981240981,0.047382533613692504,71,0.6764705882352942,0.6470588235294117,0.7941176470588235,0.7352941176470589,0.7132352941176471,0.05647901285197507,71,0.6739319965126417,0.6263736263736264,0.793939393939394,0.7294429708222812,0.7059219969119859,0.06255318092237068,71
