id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
31,0.0010139942169189453,0.00011393140579805944,0.11384975910186768,0.0023539088175156954,auto,5,-1,20,distance,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 20, 'weights': 'distance'}",0.5555555555555556,0.7777777777777778,0.625,0.75,0.875,0.5,0.625,0.75,0.25,0.875,0.6583333333333334,0.18153580063882785,101,0.5357142857142857,0.775,0.6333333333333333,0.75,0.9,0.5,0.6333333333333333,0.75,0.16666666666666666,0.9,0.6544047619047619,0.20740271740796606,181,0.525,0.775,0.625,0.75,0.875,0.5,0.625,0.75,0.25,0.875,0.655,0.18330302779823363,131,0.5,0.7750000000000001,0.6190476190476191,0.75,0.873015873015873,0.5,0.6190476190476191,0.75,0.2,0.873015873015873,0.6459126984126984,0.19604749390508697,151
32,0.0010692596435546875,0.00013875415633965665,0.1198035478591919,0.0022035103293764307,auto,5,-1,25,uniform,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 25, 'weights': 'uniform'}",0.5555555555555556,0.7777777777777778,0.625,0.75,0.875,0.5,0.75,0.75,0.375,0.875,0.6833333333333333,0.1562484567825026,11,0.55,0.8571428571428572,0.6333333333333333,0.8333333333333333,0.9,0.5,0.75,0.75,0.3666666666666667,0.9,0.7040476190476191,0.17474649601202516,21,0.55,0.75,0.625,0.75,0.875,0.5,0.75,0.75,0.375,0.875,0.6799999999999999,0.15524174696260024,11,0.55,0.75,0.6190476190476191,0.7333333333333334,0.873015873015873,0.5,0.75,0.75,0.3650793650793651,0.873015873015873,0.6763492063492065,0.15624071652945556,11
33,0.0010253190994262695,0.00016290641845673285,0.1155404806137085,0.001958932787218683,auto,5,-1,25,distance,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 25, 'weights': 'distance'}",0.5555555555555556,0.7777777777777778,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6708333333333334,0.15541288099847744,61,0.55,0.8571428571428572,0.6333333333333333,0.8333333333333333,0.9,0.5,0.6333333333333333,0.75,0.3666666666666667,0.9,0.6923809523809524,0.17518309178187974,41,0.55,0.75,0.625,0.75,0.875,0.5,0.625,0.75,0.375,0.875,0.6675,0.1541306264179835,61,0.55,0.75,0.6190476190476191,0.7333333333333334,0.873015873015873,0.5,0.6190476190476191,0.75,0.3650793650793651,0.873015873015873,0.6632539682539683,0.155001869314714,71
34,0.0010092973709106446,0.00011471725172168002,0.11662557125091552,0.0018854696405099527,auto,5,-1,30,uniform,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 30, 'weights': 'uniform'}",0.5555555555555556,0.8888888888888888,0.625,0.875,0.875,0.5,0.625,0.75,0.25,0.875,0.6819444444444445,0.2003517354585045,21,0.55,0.9166666666666667,0.6333333333333333,0.9,0.9,0.5,0.6333333333333333,0.75,0.16666666666666666,0.9,0.685,0.2286980056270229,71,0.55,0.875,0.625,0.875,0.875,0.5,0.625,0.75,0.25,0.875,0.6799999999999999,0.19931131427994747,11,0.55,0.8831168831168831,0.6190476190476191,0.873015873015873,0.873015873015873,0.5,0.6190476190476191,0.75,0.2,0.873015873015873,0.674025974025974,0.21087800870159534,21
35,0.0009529590606689453,0.00012363193062942158,0.11655676364898682,0.0035294123332000006,auto,5,-1,30,distance,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 30, 'weights': 'distance'}",0.5555555555555556,0.8888888888888888,0.625,0.75,0.875,0.625,0.625,0.75,0.25,0.875,0.6819444444444445,0.18409458954905372,21,0.55,0.9166666666666667,0.6333333333333333,0.75,0.9,0.6333333333333333,0.6333333333333333,0.75,0.16666666666666666,0.9,0.6833333333333333,0.21200104821543797,81,0.55,0.875,0.625,0.75,0.875,0.625,0.625,0.75,0.25,0.875,0.6799999999999999,0.18296174463531986,11,0.55,0.8831168831168831,0.6190476190476191,0.75,0.873015873015873,0.6190476190476191,0.6190476190476191,0.75,0.2,0.873015873015873,0.6736291486291487,0.1958587305786174,31
36,0.001062488555908203,0.00015827274029157266,0.11857085227966309,0.0016585430989888514,auto,5,-1,35,uniform,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 35, 'weights': 'uniform'}",0.6666666666666666,0.7777777777777778,0.625,0.75,0.75,0.625,0.625,0.75,0.25,0.875,0.6694444444444445,0.15978863353632952,81,0.6666666666666666,0.8571428571428572,0.6333333333333333,0.8333333333333333,0.8333333333333333,0.6333333333333333,0.6333333333333333,0.75,0.16666666666666666,0.9,0.6907142857142857,0.2001939252568633,51,0.65,0.75,0.625,0.75,0.75,0.625,0.625,0.75,0.25,0.875,0.665,0.15819292019556375,81,0.6493506493506493,0.75,0.6190476190476191,0.7333333333333334,0.7333333333333334,0.6190476190476191,0.6190476190476191,0.75,0.2,0.873015873015873,0.6546176046176047,0.1699371404661163,81
37,0.0010820627212524414,0.00019691421149813906,0.11445930004119872,0.002729719973703258,auto,5,-1,35,distance,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 35, 'weights': 'distance'}",0.6666666666666666,0.7777777777777778,0.625,0.75,0.875,0.625,0.625,0.75,0.25,0.875,0.6819444444444445,0.170154477743891,21,0.6666666666666666,0.8571428571428572,0.6333333333333333,0.8333333333333333,0.9,0.6333333333333333,0.6333333333333333,0.75,0.16666666666666666,0.9,0.6973809523809524,0.2058620776426243,31,0.65,0.75,0.625,0.75,0.875,0.625,0.625,0.75,0.25,0.875,0.6775,0.16898594616121188,41,0.6493506493506493,0.75,0.6190476190476191,0.7333333333333334,0.873015873015873,0.6190476190476191,0.6190476190476191,0.75,0.2,0.873015873015873,0.6685858585858586,0.18120067152218364,51
38,0.000639796257019043,0.00015244168675634535,0.1184856653213501,0.0040822453681691635,auto,5,-1,40,uniform,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 40, 'weights': 'uniform'}",0.6666666666666666,0.7777777777777778,0.625,0.75,0.625,0.625,0.625,0.75,0.25,0.75,0.6444444444444445,0.14449785337377724,181,0.6666666666666666,0.8571428571428572,0.6333333333333333,0.8333333333333333,0.7857142857142857,0.6333333333333333,0.6333333333333333,0.75,0.25,0.8333333333333333,0.6876190476190476,0.16896980100240885,61,0.65,0.75,0.625,0.75,0.625,0.625,0.625,0.75,0.25,0.75,0.64,0.14195069566578392,181,0.6493506493506493,0.75,0.6190476190476191,0.7333333333333334,0.5636363636363637,0.6190476190476191,0.6190476190476191,0.75,0.25,0.7333333333333334,0.6286796536796537,0.14130695885864009,181
39,0.0006729364395141602,0.0001816565039291475,0.11791477203369141,0.0026112280547573993,auto,5,-1,40,distance,"{'algorithm': 'auto', 'leaf_size': 5, 'n_jobs': -1, 'n_neighbors': 40, 'weights': 'distance'}",0.6666666666666666,0.7777777777777778,0.625,0.75,0.875,0.625,0.625,0.75,0.375,0.75,0.6819444444444445,0.12826747949615405,21,0.6666666666666666,0.8571428571428572,0.6333333333333333,0.8333333333333333,0.9,0.6333333333333333,0.6333333333333333,0.75,0.3666666666666667,0.8333333333333333,0.7107142857142856,0.1507172947867822,11,0.65,0.75,0.625,0.75,0.875,0.625,0.625,0.75,0.375,0.75,0.6775,0.12671325897474187,41,0.6493506493506493,0.75,0.6190476190476191,0.7333333333333334,0.873015873015873,0.6190476190476191,0.6190476190476191,0.75,0.3650793650793651,0.7333333333333334,0.6711255411255412,0.12775618307822095,41
40,0.000782918930053711,8.560606916970113e-05,0.1179344892501831,0.002735017267416411,auto,10,-1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'uniform'}",0.5555555555555556,0.8888888888888888,0.75,0.5,0.625,0.75,0.375,0.75,0.625,0.75,0.6569444444444444,0.14313643883881136,111,0.5833333333333333,0.9,0.8333333333333333,0.5,0.6333333333333333,0.8333333333333333,0.3666666666666667,0.75,0.6333333333333333,0.75,0.6783333333333333,0.1579468968426484,111,0.575,0.9,0.75,0.5,0.625,0.75,0.375,0.75,0.625,0.75,0.6599999999999999,0.14370107863199916,91,0.55,0.888888888888889,0.7333333333333334,0.4666666666666667,0.6190476190476191,0.7333333333333334,0.3650793650793651,0.75,0.6190476190476191,0.75,0.6475396825396826,0.14751380870662004,101
