id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.01030510663986206,0.004470181959154743,0.012037873268127441,0.004095451263759098,0.01,0,2,scale,linear,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear', 'probability': True}",0.7941176470588235,0.8529411764705882,0.7352941176470589,0.7941176470588235,0.7941176470588235,0.04159451654038512,37,0.821969696969697,0.8541666666666667,0.7833333333333333,0.8541666666666667,0.8284090909090909,0.02915559608870005,40,0.7941176470588236,0.8529411764705882,0.7352941176470589,0.7941176470588236,0.7941176470588236,0.04159451654038512,34,0.7895667550839964,0.8528138528138528,0.7235772357723578,0.7850045167118338,0.7877405900955101,0.045722769313917534,46
1,0.008987009525299072,0.005491878892352749,0.01462256908416748,0.00763356376794434,0.01,0,2,scale,poly,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly', 'probability': True}",0.7058823529411765,0.5882352941176471,0.5,0.8529411764705882,0.6617647058823529,0.1323529411764706,618,0.8148148148148149,0.6758620689655173,0.25,0.8541666666666667,0.6487108876117498,0.23953608826667358,674,0.7058823529411764,0.5882352941176471,0.5,0.8529411764705882,0.6617647058823529,0.1323529411764706,617,0.678030303030303,0.5296442687747035,0.3333333333333333,0.8528138528138528,0.5984554394880481,0.19108575936228367,651
2,0.009797155857086182,0.0035486289206602046,0.010535061359405518,0.005047769580028005,0.01,0,2,scale,rbf,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0.7352941176470589,0.6176470588235294,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.055024373334910885,516,0.7833333333333333,0.7023809523809523,0.7684210526315789,0.8148148148148149,0.7672375382901699,0.0410196577922406,512,0.7352941176470589,0.6176470588235294,0.7647058823529411,0.7058823529411764,0.7058823529411764,0.055024373334910885,517,0.7235772357723578,0.5729468599033817,0.763888888888889,0.678030303030303,0.6846108218987328,0.07126629103745911,560
3,0.009684979915618896,0.002260417279537655,0.013240218162536621,0.006480816958042153,0.01,0,2,scale,sigmoid,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True}",0.7647058823529411,0.7647058823529411,0.6764705882352942,0.8235294117647058,0.7573529411764706,0.05251050315105034,446,0.8023715415019763,0.7684210526315789,0.7451923076923077,0.8695652173913043,0.7963875298042918,0.04688778350788105,260,0.7647058823529411,0.7647058823529411,0.6764705882352942,0.8235294117647058,0.7573529411764706,0.05251050315105034,446,0.7571428571428571,0.763888888888889,0.652093023255814,0.8178571428571428,0.7477454780361756,0.06002907232647981,446
4,0.006945013999938965,0.002623726878203222,0.006290078163146973,0.0013925404317064512,0.01,0,2,auto,linear,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear', 'probability': True}",0.7941176470588235,0.8529411764705882,0.7352941176470589,0.7941176470588235,0.7941176470588235,0.04159451654038512,37,0.821969696969697,0.8541666666666667,0.7833333333333333,0.8541666666666667,0.8284090909090909,0.02915559608870005,40,0.7941176470588236,0.8529411764705882,0.7352941176470589,0.7941176470588236,0.7941176470588236,0.04159451654038512,34,0.7895667550839964,0.8528138528138528,0.7235772357723578,0.7850045167118338,0.7877405900955101,0.045722769313917534,46
5,0.008680522441864014,0.002978821112218518,0.007298946380615234,0.002734026605578129,0.01,0,2,auto,poly,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly', 'probability': True}",0.7058823529411765,0.5882352941176471,0.5,0.8529411764705882,0.6617647058823529,0.1323529411764706,618,0.8148148148148149,0.6758620689655173,0.25,0.8541666666666667,0.6487108876117498,0.23953608826667358,674,0.7058823529411764,0.5882352941176471,0.5,0.8529411764705882,0.6617647058823529,0.1323529411764706,617,0.678030303030303,0.5296442687747035,0.3333333333333333,0.8528138528138528,0.5984554394880481,0.19108575936228367,651
6,0.007404327392578125,0.00104014999771811,0.009329259395599365,0.0029855406423061745,0.01,0,2,auto,rbf,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}",0.7352941176470589,0.6176470588235294,0.7941176470588235,0.7058823529411765,0.7132352941176471,0.06367833851356165,506,0.7833333333333333,0.7023809523809523,0.8035714285714286,0.8148148148148149,0.7760251322751324,0.04398952416816456,506,0.7352941176470589,0.6176470588235294,0.7941176470588236,0.7058823529411764,0.7132352941176472,0.0636783385135617,506,0.7235772357723578,0.5729468599033817,0.7925021795989537,0.678030303030303,0.691764144576249,0.07979096128686815,551
7,0.007132172584533691,0.0002904859376804049,0.00517582893371582,0.0005132663354059124,0.01,0,2,auto,sigmoid,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'probability': True}",0.7647058823529411,0.7647058823529411,0.6764705882352942,0.8235294117647058,0.7573529411764706,0.05251050315105034,446,0.8023715415019763,0.7684210526315789,0.7451923076923077,0.8695652173913043,0.7963875298042918,0.04688778350788105,260,0.7647058823529411,0.7647058823529411,0.6764705882352942,0.8235294117647058,0.7573529411764706,0.05251050315105034,446,0.7571428571428571,0.763888888888889,0.652093023255814,0.8178571428571428,0.7477454780361756,0.06002907232647981,446
8,0.00561368465423584,0.00032762848826866183,0.006084144115447998,0.0011848679513595394,0.01,0,2,1e-05,linear,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 1e-05, 'kernel': 'linear', 'probability': True}",0.7941176470588235,0.8529411764705882,0.7352941176470589,0.7941176470588235,0.7941176470588235,0.04159451654038512,37,0.821969696969697,0.8541666666666667,0.7833333333333333,0.8541666666666667,0.8284090909090909,0.02915559608870005,40,0.7941176470588236,0.8529411764705882,0.7352941176470589,0.7941176470588236,0.7941176470588236,0.04159451654038512,34,0.7895667550839964,0.8528138528138528,0.7235772357723578,0.7850045167118338,0.7877405900955101,0.045722769313917534,46
9,0.006584644317626953,0.0012824744577256315,0.0066719651222229,0.001217481753072104,0.01,0,2,1e-05,poly,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 1e-05, 'kernel': 'poly', 'probability': True}",0.7058823529411765,0.5882352941176471,0.5,0.8529411764705882,0.6617647058823529,0.1323529411764706,618,0.8148148148148149,0.6758620689655173,0.25,0.8541666666666667,0.6487108876117498,0.23953608826667358,674,0.7058823529411764,0.5882352941176471,0.5,0.8529411764705882,0.6617647058823529,0.1323529411764706,617,0.678030303030303,0.5296442687747035,0.3333333333333333,0.8528138528138528,0.5984554394880481,0.19108575936228367,651
