id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,kernel,C,gamma,degree,coef0,probability,random_state
20,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.1,5,0,True,707878
21,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.5,2,0,True,707878
22,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.5,3,0,True,707878
23,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,0.5,5,0,True,707878
24,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1,2,0,True,707878
25,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1,3,0,True,707878
26,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,1,5,0,True,707878
27,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,5,2,0,True,707878
28,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,5,3,0,True,707878
29,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,5,5,0,True,707878
30,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,10,2,0,True,707878
31,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,10,3,0,True,707878
32,euclidian_px_all,svc,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,linear,0.01,10,5,0,True,707878
33,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,scale,2,0,True,707878
34,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,scale,3,0,True,707878
35,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,scale,5,0,True,707878
36,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,auto,2,0,True,707878
37,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,auto,3,0,True,707878
38,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,auto,5,0,True,707878
39,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,1e-05,2,0,True,707878
40,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,1e-05,3,0,True,707878
41,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,1e-05,5,0,True,707878
42,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.0001,2,0,True,707878
43,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.0001,3,0,True,707878
44,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.0001,5,0,True,707878
45,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.001,2,0,True,707878
46,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.001,3,0,True,707878
47,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.001,5,0,True,707878
48,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.01,2,0,True,707878
49,euclidian_px_all,svc,ReliefF,0.7327272727272727,"(0.6644427876968665, 0.8010117577576789)",0.85,0.32,0.4552380952380952,linear,0.1,0.01,3,0,True,707878
