id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.001667797565460205,4.635613058750258e-05,0.13650143146514893,0.013956355291851836,auto,1,-1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'uniform'}",0.7352941176470589,0.5882352941176471,0.7647058823529411,0.7941176470588235,0.7205882352941176,0.07919360010491916,1,0.7575757575757576,0.5934065934065934,0.7802197802197802,0.8035714285714286,0.73369338994339,0.08261113429940416,11,0.7352941176470589,0.5882352941176471,0.7647058823529411,0.7941176470588236,0.7205882352941178,0.07919360010491919,1,0.7294429708222812,0.5824561403508772,0.7614035087719297,0.7925021795989537,0.7164511998860105,0.08051075034018444,1
1,0.005368828773498535,0.006544221576064232,0.17051446437835693,0.010883108518834587,auto,1,-1,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 1, 'weights': 'distance'}",0.7352941176470589,0.5882352941176471,0.7647058823529411,0.7941176470588235,0.7205882352941176,0.07919360010491916,1,0.7575757575757576,0.5934065934065934,0.7802197802197802,0.8035714285714286,0.73369338994339,0.08261113429940416,11,0.7352941176470589,0.5882352941176471,0.7647058823529411,0.7941176470588236,0.7205882352941178,0.07919360010491919,1,0.7294429708222812,0.5824561403508772,0.7614035087719297,0.7925021795989537,0.7164511998860105,0.08051075034018444,1
2,0.0014327764511108398,3.432585901330867e-05,0.16511410474777222,0.022445614370684798,auto,1,-1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'uniform'}",0.6470588235294118,0.5882352941176471,0.7647058823529411,0.7941176470588235,0.6985294117647058,0.0841582583989676,91,0.6491228070175439,0.5894736842105264,0.7684210526315789,0.7951388888888888,0.7005391081871345,0.08446336679212535,91,0.6470588235294118,0.5882352941176471,0.7647058823529411,0.7941176470588235,0.6985294117647058,0.0841582583989676,81,0.6458333333333334,0.5868055555555556,0.763888888888889,0.793939393939394,0.6976167929292929,0.08460303065531127,81
3,0.0014470815658569336,9.739544866208982e-05,0.16046679019927979,0.02429455289798981,auto,1,-1,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 2, 'weights': 'distance'}",0.7352941176470589,0.5882352941176471,0.7647058823529411,0.7941176470588235,0.7205882352941176,0.07919360010491916,1,0.7575757575757576,0.5934065934065934,0.7802197802197802,0.8035714285714286,0.73369338994339,0.08261113429940416,11,0.7352941176470589,0.5882352941176471,0.7647058823529411,0.7941176470588236,0.7205882352941178,0.07919360010491919,1,0.7294429708222812,0.5824561403508772,0.7614035087719297,0.7925021795989537,0.7164511998860105,0.08051075034018444,1
4,0.001693427562713623,9.672148023509538e-05,0.1360294222831726,0.007814153625375454,auto,1,-1,3,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",0.7352941176470589,0.7058823529411765,0.7058823529411765,0.6764705882352942,0.7058823529411766,0.02079725827019258,41,0.7361111111111112,0.717948717948718,0.7087719298245614,0.7125,0.7188329397210976,0.01049579797317346,71,0.7352941176470589,0.7058823529411764,0.7058823529411764,0.6764705882352942,0.7058823529411764,0.02079725827019258,61,0.735064935064935,0.7017543859649122,0.7048611111111112,0.6621499548328817,0.70095759674346,0.02590953442034952,51
5,0.0016559958457946777,8.290667564671702e-05,0.1710337996482849,0.057962704581789884,auto,1,-1,3,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.7352941176470589,0.7058823529411765,0.6764705882352942,0.7058823529411765,0.7058823529411766,0.02079725827019258,41,0.7361111111111112,0.717948717948718,0.6821428571428572,0.7644444444444445,0.7251617826617828,0.02985662223686729,51,0.7352941176470589,0.7058823529411764,0.6764705882352942,0.7058823529411764,0.7058823529411764,0.02079725827019258,61,0.735064935064935,0.7017543859649122,0.6739319965126417,0.6886446886446886,0.6998490015467944,0.02258882600359907,61
6,0.0019626617431640625,0.0005784806884382335,0.1504504680633545,0.005025281597586709,auto,1,-1,5,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",0.6176470588235294,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7058823529411765,0.05094267081084935,61,0.6287878787878788,0.7575757575757576,0.7361111111111112,0.7833333333333333,0.7264520202020202,0.058812739621198075,41,0.6176470588235294,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7058823529411765,0.05094267081084935,41,0.6091954022988506,0.7294429708222812,0.735064935064935,0.7235772357723578,0.6993201359896062,0.052191834495427115,71
7,0.002790987491607666,0.0015932816027432837,0.1376805305480957,0.011537758987906032,auto,1,-1,5,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.6470588235294118,0.7352941176470589,0.7352941176470589,0.7647058823529411,0.7205882352941176,0.04411764705882351,1,0.6679841897233202,0.7575757575757576,0.7361111111111112,0.8400000000000001,0.7504177646025472,0.0613925654369125,1,0.6470588235294117,0.7352941176470589,0.7352941176470589,0.7647058823529411,0.7205882352941176,0.04411764705882356,31,0.6357142857142857,0.7294429708222812,0.735064935064935,0.7509157509157509,0.7127844856293132,0.045187754600291404,31
8,0.0016539692878723145,0.0001060068062727721,0.16105026006698608,0.01909979223740038,auto,1,-1,10,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'uniform'}",0.6470588235294118,0.6176470588235294,0.6764705882352942,0.6764705882352942,0.6544117647058824,0.024386946987907356,131,0.6491228070175439,0.6416666666666666,0.6821428571428572,0.6821428571428572,0.6637687969924813,0.018562201917502442,141,0.6470588235294118,0.6176470588235294,0.6764705882352942,0.6764705882352942,0.6544117647058824,0.024386946987907356,131,0.6458333333333334,0.6007226738934056,0.6739319965126417,0.6739319965126417,0.6486050000630056,0.029930389214776715,131
9,0.001671910285949707,1.5915667918704376e-05,0.15981167554855347,0.023343174804104805,auto,1,-1,10,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_jobs': -1, 'n_neighbors': 10, 'weights': 'distance'}",0.7058823529411765,0.6176470588235294,0.7352941176470589,0.7352941176470589,0.698529411764706,0.04821645973751472,81,0.717948717948718,0.6416666666666666,0.7361111111111112,0.7833333333333333,0.7197649572649573,0.05101660734790566,61,0.7058823529411764,0.6176470588235294,0.7352941176470589,0.7352941176470589,0.6985294117647058,0.04821645973751472,81,0.7017543859649122,0.6007226738934056,0.735064935064935,0.7235772357723578,0.6902798076739027,0.05307205599780626,91
