id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.6515677571296692,0.27974965355860976,0.010769665241241455,0.002919473923207005,identity,0.0001,"(50,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.8823529411764706,0.6470588235294118,0.7352941176470589,0.7941176470588235,0.7647058823529411,0.08574929257125438,16,0.8823529411764706,0.6556776556776557,0.7428571428571429,0.821969696969697,0.7757143591702416,0.08514656525141472,20,0.8823529411764706,0.6470588235294117,0.7352941176470589,0.7941176470588236,0.7647058823529411,0.08574929257125444,16,0.8823529411764706,0.6421052631578947,0.7332170880557977,0.7895667550839964,0.7618105118685399,0.08724651390615208,30
1,0.42502087354660034,0.2046650893237379,0.017757892608642578,0.005904859278433409,identity,0.0001,"(50,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.5,0.47058823529411764,0.6176470588235294,0.5,0.5220588235294118,0.056479012851975076,262,0.25,0.24242424242424243,0.7833333333333333,0.25,0.38143939393939397,0.23205418517593598,273,0.5,0.47058823529411764,0.6176470588235294,0.5,0.5220588235294118,0.056479012851975076,262,0.3333333333333333,0.32,0.5521783181357649,0.3333333333333333,0.38471124620060787,0.09684026206666996,267
2,1.1558974385261536,0.7230119278060484,0.010369598865509033,0.002986298544824952,identity,0.0001,"(50, 50, 50)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.8235294117647058,0.7058823529411765,0.7352941176470589,0.6470588235294118,0.7279411764705882,0.06367833851356164,115,0.8280701754385965,0.7087719298245614,0.7428571428571429,0.6491228070175439,0.7322055137844612,0.06472124762565823,146,0.8235294117647058,0.7058823529411764,0.7352941176470589,0.6470588235294118,0.7279411764705882,0.06367833851356165,118,0.8229166666666666,0.7048611111111112,0.7332170880557977,0.6458333333333334,0.7267070497917272,0.06386797716393602,112
3,1.0977706909179688,0.234752249450655,0.010380446910858154,0.0029665053926170503,identity,0.0001,"(50, 50, 50)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.7941176470588235,0.6176470588235294,0.8823529411764706,0.7352941176470589,0.7573529411764706,0.09615218257810307,33,0.8035714285714286,0.6287878787878788,0.887719298245614,0.7361111111111112,0.7640474291790081,0.09477929832722035,53,0.7941176470588236,0.6176470588235294,0.8823529411764706,0.7352941176470589,0.7573529411764706,0.09615218257810308,34,0.7925021795989537,0.6091954022988506,0.8819444444444444,0.735064935064935,0.754676740351796,0.09896625054474312,48
4,1.079087257385254,0.4087504962620758,0.016475260257720947,0.006844334380437854,identity,0.0001,"(100,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.8235294117647058,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.05882352941176466,16,0.8235294117647058,0.7058823529411765,0.7087719298245614,0.8424908424908425,0.7701686342553216,0.06320632021528302,28,0.8235294117647058,0.7058823529411765,0.7058823529411764,0.8235294117647058,0.7647058823529411,0.05882352941176469,16,0.8235294117647058,0.7058823529411765,0.7048611111111112,0.8210526315789475,0.7638313768489853,0.058467317748322215,25
5,0.5916745662689209,0.09046200645152193,0.008845090866088867,0.0015306733012586783,identity,0.0001,"(100,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.5,0.5294117647058824,0.5294117647058824,0.6176470588235294,0.5441176470588235,0.04411764705882354,255,0.5,0.5913978494623655,0.7575757575757576,0.6634615384615384,0.6281087863749154,0.09456620398888396,225,0.5,0.5294117647058824,0.5294117647058824,0.6176470588235294,0.5441176470588235,0.04411764705882354,255,0.37916219119226635,0.43333333333333335,0.39555555555555555,0.5888372093023255,0.4492220723458702,0.08296583704519667,249
6,4.257043480873108,1.2774672966607061,0.015471100807189941,0.005837936014245449,identity,0.0001,"(100, 100, 100)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.8235294117647058,0.6764705882352942,0.7058823529411765,0.8235294117647058,0.7573529411764706,0.06698848219959039,33,0.8235294117647058,0.6770833333333333,0.7087719298245614,0.8424908424908425,0.7629688793533608,0.07124773164910246,59,0.8235294117647058,0.6764705882352942,0.7058823529411764,0.8235294117647058,0.7573529411764706,0.06698848219959042,34,0.8235294117647058,0.6761904761904762,0.7048611111111112,0.8210526315789475,0.7564084076613102,0.06666360549215603,40
7,1.784810721874237,0.5827747204527001,0.015295445919036865,0.004618382720865311,identity,0.0001,"(100, 100, 100)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.8235294117647058,0.6764705882352942,0.5294117647058824,0.7352941176470589,0.6911764705882353,0.10706043954824292,166,0.8235294117647058,0.6770833333333333,0.7575757575757576,0.7428571428571429,0.7502614113827348,0.05203737560544169,98,0.8235294117647058,0.6764705882352942,0.5294117647058824,0.7352941176470589,0.6911764705882353,0.10706043954824292,166,0.8235294117647058,0.6761904761904762,0.39555555555555555,0.7332170880557977,0.6571231328916338,0.1598925426300814,180
8,0.659622073173523,0.15514195625883262,0.01342231035232544,0.0016751679463487172,identity,0.0001,"(45,)",adaptive,0.001,300,lbfgs,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (45,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'lbfgs'}",0.7647058823529411,0.6764705882352942,0.6764705882352942,0.8235294117647058,0.7352941176470589,0.062391774810577685,91,0.7647058823529411,0.6931818181818181,0.6821428571428572,0.8424908424908425,0.7456303500421148,0.06427935356567702,108,0.7647058823529411,0.6764705882352942,0.6764705882352942,0.8235294117647058,0.7352941176470589,0.062391774810577685,91,0.7647058823529412,0.6693191865605659,0.6739319965126417,0.8210526315789475,0.732252424251274,0.06383683979890974,103
9,0.45261722803115845,0.19092054000187153,0.01194697618484497,0.0038018266035058272,identity,0.0001,"(45,)",adaptive,0.001,300,sgd,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (45,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'solver': 'sgd'}",0.5294117647058824,0.6176470588235294,0.5294117647058824,0.6176470588235294,0.5735294117647058,0.04411764705882354,233,0.7575757575757576,0.6634615384615384,0.7575757575757576,0.7833333333333333,0.7404865967365968,0.04569677580431597,126,0.5294117647058824,0.6176470588235294,0.5294117647058824,0.6176470588235294,0.5735294117647058,0.04411764705882354,233,0.39555555555555555,0.5888372093023255,0.39555555555555555,0.5521783181357649,0.4830316596373004,0.08843106395953558,231
