id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,param_probability,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.0053972601890563965,0.00042584799899321815,0.008382797241210938,0.004735799450757616,0.01,0,2,scale,linear,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear', 'probability': True}",0.6764705882352942,0.6176470588235294,0.6470588235294118,0.5882352941176471,0.6323529411764707,0.03288335261029103,550,0.7451923076923077,0.6287878787878788,0.6888888888888889,0.5934065934065934,0.6640689171939173,0.05795461835549971,596,0.6764705882352942,0.6176470588235294,0.6470588235294117,0.5882352941176471,0.6323529411764706,0.03288335261029102,550,0.652093023255814,0.6091954022988506,0.6263736263736264,0.5824561403508772,0.617529548069792,0.02535967987143983,541
1,0.0058830976486206055,0.0004692870632524464,0.00571286678314209,0.0006287937922812217,0.01,0,2,scale,poly,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly', 'probability': True}",0.5588235294117647,0.5294117647058824,0.6176470588235294,0.5588235294117647,0.5661764705882353,0.03205072752603437,709,0.765625,0.5586206896551724,0.7833333333333333,0.6416666666666666,0.6873114224137931,0.0921926952585677,529,0.5588235294117647,0.5294117647058824,0.6176470588235294,0.5588235294117647,0.5661764705882353,0.03205072752603437,709,0.4522019334049409,0.4624505928853755,0.5521783181357649,0.48328267477203646,0.48752837979952945,0.03896951933704397,718
2,0.007468104362487793,0.00037650304188706053,0.005369901657104492,0.0005685652541939463,0.01,0,2,scale,rbf,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0.6764705882352942,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.04159451654038516,680,0.7451923076923077,0.5590277777777778,0.6416666666666666,0.6214285714285714,0.6418288308913309,0.06700040973099192,730,0.6764705882352942,0.5588235294117647,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.04159451654038516,680,0.652093023255814,0.5584415584415585,0.6007226738934056,0.6146469049694856,0.606476040140066,0.033496585034356645,674
3,0.009896337985992432,0.0015188281166554124,0.007318258285522461,0.0016192267615471026,0.01,0,2,scale,sigmoid,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid', 'probability': True}",0.5,0.4411764705882353,0.47058823529411764,0.5,0.4779411764705882,0.024386946987907356,862,0.25,0.4409722222222222,0.24242424242424243,0.25,0.29584911616161613,0.08384392636341494,856,0.5,0.4411764705882353,0.47058823529411764,0.5,0.4779411764705882,0.024386946987907356,862,0.3333333333333333,0.4406926406926407,0.32,0.3333333333333333,0.35683982683982685,0.04871749610397871,799
4,0.007694542407989502,0.003483796138270375,0.009927511215209961,0.004918124466713141,0.01,0,2,auto,linear,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear', 'probability': True}",0.6764705882352942,0.6176470588235294,0.6470588235294118,0.5882352941176471,0.6323529411764707,0.03288335261029103,550,0.7451923076923077,0.6287878787878788,0.6888888888888889,0.5934065934065934,0.6640689171939173,0.05795461835549971,596,0.6764705882352942,0.6176470588235294,0.6470588235294117,0.5882352941176471,0.6323529411764706,0.03288335261029102,550,0.652093023255814,0.6091954022988506,0.6263736263736264,0.5824561403508772,0.617529548069792,0.02535967987143983,541
5,0.005070149898529053,9.802242527468175e-05,0.005541324615478516,0.0001988290164444175,0.01,0,2,auto,poly,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly', 'probability': True}",0.5588235294117647,0.5882352941176471,0.6176470588235294,0.5588235294117647,0.5808823529411764,0.02438694698790736,687,0.765625,0.6133333333333333,0.7833333333333333,0.6416666666666666,0.7009895833333333,0.0744329511332832,449,0.5588235294117647,0.5882352941176471,0.6176470588235294,0.5588235294117647,0.5808823529411764,0.02438694698790736,687,0.4522019334049409,0.5641025641025641,0.5521783181357649,0.48328267477203646,0.5129413726038266,0.04670632516458383,693
6,0.008158504962921143,0.000731657177685543,0.0065111517906188965,0.0006473325969749493,0.01,0,2,auto,rbf,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}",0.6764705882352942,0.5588235294117647,0.6470588235294118,0.6176470588235294,0.625,0.04350058664043836,667,0.7451923076923077,0.5590277777777778,0.6888888888888889,0.6214285714285714,0.6536343864468865,0.07002384916955028,650,0.6764705882352942,0.5588235294117647,0.6470588235294117,0.6176470588235294,0.625,0.04350058664043835,667,0.652093023255814,0.5584415584415585,0.6263736263736264,0.6146469049694856,0.6128887782601211,0.0342286601761728,595
7,0.012054681777954102,0.0032937761108152498,0.011152029037475586,0.006785073950570173,0.01,0,2,auto,sigmoid,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'probability': True}",0.23529411764705882,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.3529411764705882,0.07204381596421111,889,0.23157894736842105,0.39920948616600793,0.4117647058823529,0.3320158102766798,0.3436422374233654,0.07145233486022035,811,0.23529411764705882,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.3529411764705882,0.07204381596421111,889,0.2326388888888889,0.39285714285714285,0.4117647058823529,0.33214285714285713,0.34235089869281043,0.06983925567980284,838
8,0.008515238761901855,0.005414855804821707,0.00833982229232788,0.003791789325105061,0.01,0,2,1e-05,linear,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 1e-05, 'kernel': 'linear', 'probability': True}",0.6764705882352942,0.6176470588235294,0.6470588235294118,0.5882352941176471,0.6323529411764707,0.03288335261029103,550,0.7451923076923077,0.6287878787878788,0.6888888888888889,0.5934065934065934,0.6640689171939173,0.05795461835549971,596,0.6764705882352942,0.6176470588235294,0.6470588235294117,0.5882352941176471,0.6323529411764706,0.03288335261029102,550,0.652093023255814,0.6091954022988506,0.6263736263736264,0.5824561403508772,0.617529548069792,0.02535967987143983,541
9,0.011482298374176025,0.00645695058581791,0.012565791606903076,0.006063529172694708,0.01,0,2,1e-05,poly,True,"{'C': 0.01, 'coef0': 0, 'degree': 2, 'gamma': 1e-05, 'kernel': 'poly', 'probability': True}",0.5588235294117647,0.5882352941176471,0.6176470588235294,0.5588235294117647,0.5808823529411764,0.02438694698790736,687,0.765625,0.6133333333333333,0.7833333333333333,0.6416666666666666,0.7009895833333333,0.0744329511332832,449,0.5588235294117647,0.5882352941176471,0.6176470588235294,0.5588235294117647,0.5808823529411764,0.02438694698790736,687,0.4522019334049409,0.5641025641025641,0.5521783181357649,0.48328267477203646,0.5129413726038266,0.04670632516458383,693
