id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,hidden_layer_sizes,activation,alpha,solver,learning_rate_init,max_iter,random_state
25,euclidian_px_all,mlpclassifier,ReliefF,0.7327272727272727,"(0.6359737186080014, 0.8294808268465439)",0.6352380952380952,0.725,0.6516161616161615,"(50, 50, 50)",identity,0.001,lbfgs,0.001,300,707878
26,euclidian_px_all,mlpclassifier,ReliefF,0.7154545454545456,"(0.6262901080971764, 0.8046189828119147)",0.6183333333333334,0.73,0.6499494949494948,"(50, 50, 50)",identity,0.01,lbfgs,0.001,300,707878
27,euclidian_px_all,mlpclassifier,ReliefF,0.6963636363636363,"(0.6129632238153572, 0.7797640489119154)",0.6028571428571429,0.76,0.6624242424242424,"(50, 50, 50)",identity,0.0001,sgd,0.001,300,707878
28,euclidian_px_all,mlpclassifier,ReliefF,0.6963636363636363,"(0.6129632238153572, 0.7797640489119154)",0.6028571428571429,0.76,0.6624242424242424,"(50, 50, 50)",identity,0.001,sgd,0.001,300,707878
29,euclidian_px_all,mlpclassifier,ReliefF,0.6963636363636363,"(0.6129632238153572, 0.7797640489119154)",0.6028571428571429,0.76,0.6624242424242424,"(50, 50, 50)",identity,0.01,sgd,0.001,300,707878
30,euclidian_px_all,mlpclassifier,ReliefF,0.77,"(0.6984988435856102, 0.8415011564143898)",0.6780952380952381,0.825,0.7277777777777776,"(50, 50, 50)",logistic,0.0001,lbfgs,0.001,300,707878
31,euclidian_px_all,mlpclassifier,ReliefF,0.7336363636363636,"(0.612869854554986, 0.8544028727177413)",0.6454761904761904,0.8099999999999999,0.7095376845376844,"(50, 50, 50)",logistic,0.001,lbfgs,0.001,300,707878
32,euclidian_px_all,mlpclassifier,ReliefF,0.7327272727272727,"(0.6312336960710165, 0.8342208493835288)",0.6276984126984126,0.75,0.6704256854256855,"(50, 50, 50)",logistic,0.01,lbfgs,0.001,300,707878
33,euclidian_px_all,mlpclassifier,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.0001,sgd,0.001,300,707878
34,euclidian_px_all,mlpclassifier,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.001,sgd,0.001,300,707878
35,euclidian_px_all,mlpclassifier,ReliefF,0.6236363636363637,"(0.6023541314163999, 0.6449185958563274)",0.0,0.0,0.0,"(50, 50, 50)",logistic,0.01,sgd,0.001,300,707878
36,euclidian_px_all,mlpclassifier,ReliefF,0.6872727272727273,"(0.6090467757546467, 0.7654986787908078)",0.5861904761904762,0.705,0.6229004329004328,"(50, 50, 50)",tanh,0.0001,lbfgs,0.001,300,707878
37,euclidian_px_all,mlpclassifier,ReliefF,0.79,"(0.7153861395678053, 0.8646138604321948)",0.6846428571428571,0.85,0.7513170163170164,"(50, 50, 50)",tanh,0.001,lbfgs,0.001,300,707878
38,euclidian_px_all,mlpclassifier,ReliefF,0.7254545454545455,"(0.6344257688946934, 0.8164833220143976)",0.6052380952380954,0.8,0.6805050505050505,"(50, 50, 50)",tanh,0.01,lbfgs,0.001,300,707878
39,euclidian_px_all,mlpclassifier,ReliefF,0.6872727272727273,"(0.6090467757546467, 0.7654986787908078)",0.5878571428571429,0.76,0.654090909090909,"(50, 50, 50)",tanh,0.0001,sgd,0.001,300,707878
