id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_neighbors,weights,algorithm,leaf_size,n_jobs
0,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,auto,1,-1
1,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,auto,5,-1
2,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,auto,10,-1
3,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,auto,20,-1
4,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,auto,30,-1
5,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,brute,1,-1
6,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,brute,5,-1
7,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,brute,10,-1
8,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,brute,20,-1
9,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,uniform,brute,30,-1
10,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,auto,1,-1
11,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,auto,5,-1
12,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,auto,10,-1
13,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,auto,20,-1
14,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,auto,30,-1
15,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,brute,1,-1
16,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,brute,5,-1
17,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,brute,10,-1
18,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,brute,20,-1
19,euclidian_px_all,kneighborsclassifier,RFS,0.7418181818181818,"(0.6480736579494677, 0.835562705686896)",0.6354761904761904,0.775,0.6919696969696969,1,distance,brute,30,-1
20,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,auto,1,-1
21,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,auto,5,-1
22,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,auto,10,-1
23,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,auto,20,-1
24,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,auto,30,-1
25,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,brute,1,-1
26,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,brute,5,-1
27,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,brute,10,-1
28,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,brute,20,-1
29,euclidian_px_all,kneighborsclassifier,RFS,0.6863636363636363,"(0.5753602036864631, 0.7973670690408095)",0.6483333333333333,0.54,0.5642063492063493,2,uniform,brute,30,-1
